Walmart Category,Walmart PTG,Walmart Product Type,准入状态,中国卖家可做,必需认证,特殊备注,字段总数,必填字段数,必填字段清单,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Automatic Pet Feeders,附条件允许,需评估 (要合规投入),FDA 宠物食品设施注册 | AAFCO 营养充分性声明,,86,15,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | assembledProductLength | assembledProductHeight | assembledProductWidth | condition | has_nrtl_listing_certification | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Bee Guards,附条件允许,需评估 (要合规投入),EPA 注册号 | SDS,,51,11,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | color | condition | has_written_warranty | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Bird Feeder Domes & Baffles,普通商品,是,,,62,15,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | assembledProductLength | assembledProductHeight | assembledProductWidth | color | condition | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Bird Feeders,普通商品,是,,,83,15,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | bird_feeder_type | bird_type | color | condition | has_written_warranty | material | netContent | recommendedLocations,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Butterfly Feeders,普通商品,是,,,55,14,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | assembledProductLength | assembledProductHeight | assembledProductWidth | condition | has_written_warranty | mountType | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Feed Scoops,附条件允许,需评估 (要合规投入),FDA 宠物食品设施注册 | AAFCO 营养充分性声明,,55,12,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | color | condition | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Hog Feeders,附条件允许,需评估 (要合规投入),FDA 宠物食品设施注册 | AAFCO 营养充分性声明,,62,11,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | condition | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Hog Watering Nipples,附条件允许,需评估 (要合规投入),EPA 注册号 | SDS,,59,12,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | assembledProductLength | condition | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Hummingbird Feeders,附条件允许,需评估 (要合规投入),FDA 宠物食品设施注册 | AAFCO 营养充分性声明,,58,15,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | animalType | assembledProductLength | assembledProductHeight | assembledProductWidth | color | condition | has_written_warranty | material | netContent,,,,,,,,,,,,,,,,,,,,,
Animals,Animal Feeding & Watering,Nut Gatherers,普通商品,是,,,45,10,productName | brand | shortDescription | keyFeatures | mainImageUrl | isProp65WarningRequired | assembledProductHeight | condition | has_written_warranty | netContent,,,,,,,,,,,,,,,,,,,,,
